实际值,预测值
0.020600000396370888,0.016453456
0.028200000524520874,0.01697563
0.018799999728798866,0.017567825
0.027400000020861626,0.014537338
0.026599999517202377,0.017444957
0.01263333298265934,0.016044911
0.020666666328907013,0.016114645
0.02250000089406967,0.016654715
0.018133332952857018,0.020381035
0.02696666680276394,0.018315725
0.02019999921321869,0.01904887
0.022199999541044235,0.017984161
0.022199999541044235,0.015916746
0.028200000524520874,-0.013468141
0.012600000016391277,0.002204662
0.026799999177455902,0.37961075
0.0551999993622303,1.1600147
1.0845999717712402,3.6421509
4.18720006942749,7.0558014
8.569000244140625,12.588388
13.162599563598633,18.751703
19.30396270751953,23.766079
29.48972511291504,32.678005
34.79228973388672,39.70667
74.19184875488281,51.234776
85.0088119506836,59.45366
97.1437759399414,70.64422
78.28614044189453,81.29985
101.6239013671875,90.5924
80.12906646728516,106.87423
125.54502868652344,123.13029
119.54039001464844,133.74954
154.2903594970703,149.45891
138.46432495117188,162.68442
182.9458770751953,173.36026
196.53665161132812,185.63972
187.9224090576172,193.65947
193.7135772705078,201.29102
215.17852783203125,211.03409
207.26589965820312,217.7613
179.9186553955078,215.39291
182.24122619628906,216.89464
171.37818908691406,214.1867
226.6197509765625,216.58861
186.68490600585938,215.64755
195.9190673828125,216.24883
216.74684143066406,213.21956
198.40879821777344,213.88142
208.68919372558594,208.3428
202.62559509277344,199.46567
190.66119384765625,191.48131
186.4174041748047,187.3536
171.4761962890625,178.33821
146.89739990234375,166.68767
96.58999633789062,160.9898
130.88180541992188,146.96526
116.67040252685547,135.49254
102.0739974975586,121.72657
83.05940246582031,103.37138
68.7959976196289,90.74665
54.90079879760742,77.00694
40.632999420166016,60.816696
10.348799705505371,44.953926
5.688399791717529,33.103004
7.935400009155273,23.291477
4.5980000495910645,15.287648
0.3614000082015991,11.038698
0.33320000767707825,6.593093
0.20340000092983246,4.3755593
0.10486666858196259,2.8327723
0.07253333181142807,1.984204
0.019999999552965164,1.8061814
0.021800000220537186,1.8526367
0.020600000396370888,1.7332144
0.01979999989271164,1.6974797
0.02239999920129776,1.7247751
0.020600000396370888,1.6413012
0.020800000056624413,1.4730538
0.020400000736117363,1.4967662
0.012600000016391277,1.6060107
0.026000000536441803,1.5751637
0.024800000712275505,1.607542
0.01899999938905239,1.5073874
0.020999999716877937,1.5814537
0.012400000356137753,1.1444688
0.018799999728798866,1.3645885
0.012400000356137753,1.5405766
0.028200000524520874,1.553411
0.020400000736117363,1.5867083
0.019200000911951065,0.3468823
0.012799999676644802,0.041981757
0.01940000057220459,0.016114974
0.027799999341368675,0.015635353
0.026799999177455902,0.015894268
0.02800000086426735,0.016016997
0.0284000001847744,0.015260924
0.024399999529123306,0.016752403
0.02160000056028366,0.01708715
0.020600000396370888,0.017820101
0.029400000348687172,0.015440318
0.020400000736117363,0.018206665
0.02759999968111515,0.016059708
0.012600000016391277,0.01705571
0.01940000057220459,0.017265122
0.022600000724196434,0.020007594
0.020600000396370888,0.019499546
0.020400000736117363,0.018481586
0.012199999764561653,0.019007072
0.019999999552965164,0.017681366
0.01720000058412552,-0.033303093
0.012600000016391277,-0.0937136
0.017000000923871994,0.45213118
0.027799999341368675,1.5122874
0.20090000331401825,4.140972
0.483599990606308,7.8223643
1.0612000226974487,15.476615
1.6624000072479248,23.6079
3.0820000171661377,31.125603
10.380599975585938,43.29488
33.137001037597656,55.058464
48.754798889160156,65.3993
61.29840087890625,76.2455
68.83799743652344,88.82444
88.43280029296875,102.54357
98.01959991455078,112.70134
106.33039855957031,127.320816
121.50740051269531,142.04297
137.3094024658203,152.5804
147.7104034423828,168.53831
157.5424041748047,178.76198
168.50999450683594,190.95874
183.19020080566406,201.28683
190.997802734375,209.04663
198.1887969970703,212.89577
200.139404296875,220.8268
203.07980346679688,225.63678
207.0803985595703,223.55846
207.5260009765625,225.4788
207.11959838867188,220.24744
206.69760131835938,223.15979
205.50540161132812,219.32997
207.4510040283203,214.99307
201.0872039794922,215.61809
199.58200073242188,213.45663
185.002197265625,203.67343
186.3394012451172,195.59718
174.3690948486328,183.79944
168.460205078125,175.85286
147.57179260253906,168.09976
137.3917999267578,154.87433
125.1449966430664,148.74132
114.72239685058594,132.72368
98.15460205078125,120.649475
86.5365982055664,109.227104
74.64640045166016,91.49293
60.622798919677734,78.878876
48.68579864501953,66.04884
36.5536003112793,52.43609
27.047399520874023,39.746464
17.652999877929688,29.367643
10.457799911499023,20.751652
4.9475998878479,13.620548
0.879800021648407,8.165917
0.2858000099658966,3.7752755
0.2680000066757202,2.1205823
0.018400000408291817,0.9507425
0.02280000038444996,0.8833969
0.017666665837168694,1.0743921
0.023933332413434982,1.0475482
0.02319999970495701,1.0005256
0.025800000876188278,1.0080628
0.0272000003606081,1.0360891
0.03240000084042549,0.9957865
0.023800000548362732,0.81676817
0.019200000911951065,0.7318142
0.02759999968111515,0.9056468
0.02759999968111515,0.862473
0.018799999728798866,0.91811395
0.026799999177455902,0.8698358
0.0142000000923872,0.91220796
0.02019999921321869,0.61195177
0.02160000056028366,0.8117385
0.02879999950528145,0.9069608
0.027799999341368675,0.8714064
0.027000000700354576,0.81598955
0.028200000524520874,2.5819795
0.025200000032782555,0.03942859
0.01979999989271164,0.015668621
0.02759999968111515,0.017091887
0.026799999177455902,0.015483644
0.02539999969303608,0.01495654
0.03579999879002571,0.015159191
0.026399999856948853,0.017119482
0.03400000184774399,0.016714081
0.026000000536441803,0.016140599
0.027400000020861626,0.015012606
0.028200000524520874,0.017889148
0.026399999856948853,0.01589448
0.025800000876188278,0.016528947
0.01979999989271164,0.015043077
0.026000000536441803,0.016822394
0.027400000020861626,0.017402269
0.0284000001847744,0.016868802
0.028200000524520874,0.016811548
0.02160000056028366,0.012172307
0.020400000736117363,-0.018333029
0.01899999938905239,-0.0067562726
0.028300000354647636,0.4496867
0.018200000748038292,1.5328779
1.1203999519348145,3.4094515
5.433000087738037,6.9033113
11.442000389099121,12.706683
18.552200317382812,20.641148
28.22559928894043,27.471416
39.18360137939453,39.04769
50.50279998779297,47.42711
63.036800384521484,55.732883
78.73059844970703,66.82506
93.74479675292969,79.29085
108.13980102539062,87.29962
121.65899658203125,100.64065
138.35020446777344,110.90117
154.1907958984375,123.540146
165.30979919433594,133.52882
174.8137969970703,151.10503
172.66380310058594,155.50165
193.16659545898438,159.39789
198.9053955078125,171.03813
205.86599731445312,175.98622
209.5679931640625,181.70074
213.84300231933594,177.7318
215.52940368652344,186.33731
217.10060119628906,180.92116
194.15280151367188,189.98251
207.71499633789062,184.0554
209.94679260253906,182.26169
207.55259704589844,179.00168
210.63099670410156,171.91928
206.2104034423828,167.45082
199.88560485839844,172.01953
195.1956024169922,157.84085
189.3350067138672,149.42055
179.78660583496094,142.13652
167.781005859375,134.5397
156.11099243164062,131.10664
