日期,时间点,实际值,预测值
2022-09-16,P76,0.012600000016391277,0.7409785
2022-09-16,P77,0.020999999716877937,0.042005938
2022-09-16,P78,0.012000000104308128,-0.2069303
2022-09-16,P79,0.02773333340883255,-0.34328148
2022-09-16,P80,0.021266667172312737,-0.30340084
2022-09-16,P81,0.027400000020861626,-0.27787003
2022-09-16,P82,0.024800000712275505,-0.25936645
2022-09-16,P83,0.025599999353289604,-0.40371928
2022-09-16,P84,0.02500000037252903,-0.3643592
2022-09-16,P85,0.0348999984562397,-0.4275363
2022-09-16,P86,0.025200000032782555,-0.3785488
2022-09-16,P87,0.02319999970495701,-0.4325135
2022-09-16,P88,0.024800000712275505,-0.22852567
2022-09-16,P89,0.036400001496076584,-0.41501763
2022-09-16,P90,0.033399999141693115,-0.3520532
2022-09-16,P91,0.024000000208616257,-0.42266214
2022-09-16,P92,0.02419999986886978,-0.5243858
2022-09-16,P93,0.023399999365210533,-0.4871837
2022-09-16,P94,0.03099999949336052,-0.4481216
2022-09-16,P95,0.033399999141693115,-0.39347222
2022-09-16,P96,0.03180000185966492,-0.3160151
2022-09-25,P1,0.0284000001847744,0.58641416
2022-09-25,P2,0.012600000016391277,0.032425683
2022-09-25,P3,0.012400000356137753,0.017552432
2022-09-25,P4,0.020999999716877937,0.017916165
2022-09-25,P5,0.012799999676644802,0.018331282
2022-09-25,P6,0.022600000724196434,0.016466577
2022-09-25,P7,0.014600000344216824,0.016482754
2022-09-25,P8,0.020999999716877937,0.018126657
2022-09-25,P9,0.012799999676644802,0.016117884
2022-09-25,P10,0.012600000016391277,0.019251522
2022-09-25,P11,0.014600000344216824,0.01746369
2022-09-25,P12,0.021199999377131462,0.018822022
2022-09-25,P13,0.013000000268220901,0.01841779
2022-09-25,P14,0.020800000056624413,0.018797668
2022-09-25,P15,0.022600000724196434,0.01956663
2022-09-25,P16,0.014600000344216824,0.01977037
2022-09-25,P17,0.022199999541044235,0.018382842
2022-09-25,P18,0.020800000056624413,0.020175587
2022-09-25,P19,0.0142000000923872,0.019570991
2022-09-25,P20,0.012600000016391277,0.022927696
2022-09-25,P21,0.020999999716877937,0.023158431
2022-09-25,P22,0.020800000056624413,0.13316084
2022-09-25,P23,0.019999999552965164,0.77082914
2022-09-25,P24,0.012299999594688416,1.8382494
2022-09-25,P25,0.04960000142455101,4.0032086
